address,price,bed,bath,sq_ft,acres,hoa,garages,pool,land,city_id,city_name
"Tbd Bridgeview Dr, Abingdon, VA 24211","$70,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Bridgeview #2, Abingdon, VA 24211","$70,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"tbd Lot 89 E Cheyenne Trl, Abingdon, VA 24211","$39,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 89 E Cheyenne Trl #89, Abingdon, VA 24211","$39,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Tbd Northwoods Trl, Abingdon, VA 24210","$39,900",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Village Loop #21, Abingdon, VA 24210","$25,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 114 Clifton Ridge Rd #114, Abingdon, VA 24211","$67,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #34, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #37, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #31, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #38, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #39, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #33, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #36, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #40, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #28, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #25, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #35, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #29, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #24, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #23, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"14322 Smith Creek Rd, Bristol, VA 24202","$99,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"14322 Smith Creek Rd #12, Bristol, VA 24202","$99,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #16, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #9, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #22, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #10, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #19, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #17, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #18, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #11, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #8, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #5, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #6, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #4, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #7, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #2, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #3, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"tbd Windsor Ln #12, Abingdon, VA 24210","$55,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Pinehurst Ct #30, Abingdon, VA 24210","$79,900",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Village Loop #30, Abingdon, VA 24210","$27,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"LOT 133 E Cheyenne Trl #133, Abingdon, VA 24211","$30,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"LOT 125 E Meadowbrook Dr #125, Abingdon, VA 24211","$30,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"LOT 54 E Meadowbrook Dr #54, Abingdon, VA 24211","$45,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"LOT 49 E Meadowbrook Dr #49, Abingdon, VA 24211","$45,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"LOT 47 E Meadowbrook Dr #47, Abingdon, VA 24211","$45,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"LOT 48 E Meadowbrook Dr #48, Abingdon, VA 24211","$45,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"LOT 132 E Cheyenne Trl #132, Abingdon, VA 24211","$40,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"LOT 138 E Senoda Dr #138, Abingdon, VA 24211","$35,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"LOT 135 E Meadowbrook Dr #134, Abingdon, VA 24211","$35,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"LOT 137 E Senoda Dr #137, Abingdon, VA 24211","$35,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"LOT 134 E Meadowbrook Dr #134, Abingdon, VA 24211","$35,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"lOT128 E Meadowbrook Dr #128, Abingdon, VA 24211","$35,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"lOT127 E Meadowbrook Dr #127, Abingdon, VA 24211","$35,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"lOT126 E Meadowbrook Dr #126, Abingdon, VA 24211","$35,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"lOT121 E Meadowbrook Dr #121, Abingdon, VA 24211","$35,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"lOT122 E Meadowbrook Dr #122, Abingdon, VA 24211","$35,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Lake Bend Court, Lot 30, Abingdon, VA 24211","$145,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 9 Kesner Ln, Abingdon, VA 24210","$32,500",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"TBD Glenrochie Dr Unit 21  22, Abingdon, VA 24211","$40,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 9 Fork River Rd, Abingdon, VA 24210","$250,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"Lot 9 Hendricks Dr #9, Abingdon, VA 24210","$47,750",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
"0 Colonade Dr, Abingdon, VA 24210","$55,000",N/A,N/A,—,N/A,N/A,N/A,False,True,22,Abingdon
